iter	Passed	Remaining
552	57819	4914
553	57927	4809
554	58034	4705
555	58132	4600
556	58234	4495
557	58337	4391
558	58432	4285
559	58533	4180
560	58633	4076
561	58726	3970
562	58829	3866
563	58936	3761
564	59034	3656
565	59139	3552
566	59230	3447
567	59339	3343
568	59442	3238
569	59539	3133
570	59638	3028
571	59726	2923
572	59815	2818
573	59909	2713
574	60000	2608
575	60088	2503
576	60175	2398
577	60261	2293
578	60351	2188
579	60439	2084
580	60539	1979
581	60627	1875
582	60720	1770
583	60830	1666
584	60923	1562
585	61027	1457
586	61118	1353
587	61208	1249
588	61296	1144
589	61388	1040
590	61482	936
591	61571	832
592	61663	727
593	61754	623
594	61845	519
595	61934	415
596	62020	311
597	62113	207
598	62209	103
599	62297	0
